상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
9791156002673,S000216848377,컴퓨터과학을 위한 필수 이산수학,"32,000","32,000",0%,3%,960,Harry Lewis 외,홍릉,20250228,컴퓨터/IT
9791192119427,S000215969252,발자취 DIAT 멀티미디어제작 곰픽+곰믹스 for DIAT 6개월,"21,000","18,900",10%,5%,"1,050",수험서개발팀,마린북스,20250228,컴퓨터/IT
9791169213394,S000215787646,레트로의 유니티 6 게임 프로그래밍 에센스,"66,000","59,400",10%,5%,"3,300",이제민,한빛미디어,20250217,컴퓨터/IT
9788931476460,S000215605443,이기적 SW코딩자격 2급(3급 포함)(엔트리),"18,000","16,200",10%,5%,900,이민경 외,영진닷컴,20250217,컴퓨터/IT
9791165712266,S000215617822,유틸리티와 함께하는 컴퓨터와 친구하기,"10,000","9,000",10%,5%,500,해람북스 기획팀,해람북스(구 북스홀릭),20250210,컴퓨터/IT
9791138386555,S000215723526,처음 시작하는 디지털 드로잉 with 스케치북,"19,000","17,100",10%,5%,950,이은지(꿀디쌤),시대인,20250207,컴퓨터/IT
9791192932996,S000215609859,Wireshark로 배우는 컴퓨터 네트워크,"39,000","39,000",0%,0%,0,김봉한 외,생능출판,20250131,컴퓨터/IT
9791139223903,S000215617495,DX를 위한 UI·UX 플랫폼 넥사크로 N,"25,000","22,500",10%,5%,"1,250",투비소프트 제품확산팀,지식과감성,20250120,컴퓨터/IT
9791192373911,S000215142605,누구나 쉽게 배우는 인공지능 스타트 with 챗GPT,"29,000","29,000",0%,0%,0,박동규,인피니티북스,20250110,컴퓨터/IT
9791163036654,S000215031171,Do it! 자바 프로그래밍 입문,"29,000","26,100",10%,5%,"1,450",박은종,이지스퍼블리싱,20250110,컴퓨터/IT
9791192932880,S000215103275,시니어를 위한 스마트폰 활용 with 챗GPT,"19,800","19,800",0%,3%,590,곽민철 외,생능북스,20250110,컴퓨터/IT
9791169213318,S000214977649,전문가를 위한 리액트,"34,000","30,600",10%,5%,"1,700",테자스 쿠마르,한빛미디어,20241223,컴퓨터/IT
